Accession	Submission Date	Title	Number of Raw Files
PXD010059	2018-06-07	Reversible SAHH inhibitor protects against glomerulonephritis in lupus-prone NZB/NZW F1 mice by modulating α-actinin-4 associated skeleton organization of podocytes	21
PXD010352	2018-07-10	Complementary proteomics strategies identify the ataxin-1 interactome in Neuro-2a cells	21
PXD014191	2019-06-10	Proteome profiling of the exhaled breath condensate after long-term spaceflights	21
PXD017378	2020-02-04	Comprehensive cross-linking mass spectrometry reveals molecular insights into the between peripheral and core NuRD complex subunits	21
PXD020542	2020-07-24	Proximal proteome and ubiquitination landscape of E3 Ubiquitin Ligase Mindbomb 1	21
PXD030063	2021-11-30	Mapping of nanobody binding sites on human LRRK2 by CX-MS	21
PXD032202	2022-03-11	Global and comparative proteome signatures in the lens capsule, trabecular meshwork, and iris of patients with pseudoexfoliation glaucoma	21
PXD038100	2022-11-11	Global assessment of protein-protein crosslinking in ex vivo eRIC samples	21
PXD036896	2022-09-21	MRPS36 provides a missing link in the eukaryotic 2-oxoglutarate dehydrogenase complex for recruitment of E3 to the E2 core - Phospoproteomics data	21
PXD040875	2023-03-15	The Hsp90 molecular chaperone governs client proteins by targeting intrinsically disordered regions	21
PXD045921	2023-10-05	Immunoproximity biotinylation reveals the axon initial segment proteome	21
PXD043093	2023-06-19	UV-inducible crosslinking IP-MS to elucidate the role of nuclear Hsp104 during quiescence in Saccharomyces cerevisiae	21
PXD044310	2023-08-03	Interactome analysis of elongating RNAPII after induction of DNA damage by IP-MS/MS	21
PXD050287	2024-03-03	Spatially resolved proteomics of the Arabidopsis stomatal lineage identifies polarity complexes for cell divisions and stomatal pores	21
PXD041610	2023-04-18	Proximity labeling in Arabidopsis seedlings expressing R-degron-Turbo vs. M-degron-Turbo vs. L-degron-Turbo untreated (DMSO control), treated with 10µM Bortezomib and treated with 1µM Concanamycin A.	21
PXD043294	2023-06-26	Exploring the Spatial Landscape of the Estrogen Receptor Proximal Proteome With Antibody-Based Proximity Labeling	21
PXD051047	2024-03-28	Profiling the LAM family of contact-site tethers provides mechanistic insights into their regulation and function	21
PXD052624	2024-05-28	Protein imbalance from aneuploidy impairs mitochondria - Dataset 3: APEX2-p62 autophagosome lumen profiling proteomics	21
PXD061566	2025-03-07	Employing Expression-Matched Controls Enables High Confidence Proximity-Based Interactome Classification (Dataset 4)	21
PXD061564	2025-03-07	Employing Expression-Matched Controls Enables High Confidence Proximity-Based Interactome Classification (Dataset 5)	21
PXD061540	2025-03-06	Employing Expression-Matched Controls Enables High Confidence Proximity-Based Interactome Classification (Dataset 6)	21
PXD063191	2025-04-22	Label-free LC-MS/MS analysis of proteins associated with specific RNAs in HeLa cells	21
PXD055069	2024-08-22	Structural proteomic analysis of folding intermediates of FLuc on the human ribosome	21
PXD053984	2024-07-16	Cross-Linking MS of Parvulin 14 and 17	21
PXD007250	2017-08-11	On the reproducibility of label-free quantitative cross-linking/mass spectrometry	20
PXD002226	2015-05-26	Caenorhabditis elegans mRBPome	20
PXD010075	2018-06-08	Protein interactome of small RNA fragments: identification and functional implications	20
PXD011312	2018-10-09	Mapping the proteome of the synaptic cleft through peroxidase-based reporter protein SynCAM1-HRP	20
PXD011727	2018-11-19	PCNA interactome -  SLX4IP acts with SLX4 and XPF-ERCC1 to promote interstrand crosslink repair	20
PXD014282	2019-10-16	Structure of the Fanconi anaemia monoubiquitin ligase complex	20
PXD010174	2019-07-12	An Outer Membrane Protein-Targeting Antibiotic Against Resistant Gram-Negative Bacterial Pathogens	20
PXD013350	2019-04-03	Proteomics analysis of the matrisome from MC38 experimental mouse liver metastases	20
PXD021396	2020-09-10	CNS-derived extracellular vesicles from superoxide dismutase 1 (SOD1)G93A ALS mice originate from astrocytes and neurons and carry misfolded SOD1	20
PXD022210	2020-10-28	The proteomic inventory reveals the chloroplast ribosome as nexus within a diverse protein network - Effect of Crosslinking	20
PXD025029	2021-03-26	A disease-linked lncRNA mutation in RNase MRP inhibits ribosome synthesis	20
PXD025172	2021-04-06	Yeast TRAPPIII complex cross-linking mass spectrometry	20
PXD026191	2021-05-21	Revealing the Structural Plasticity of SARS-CoV-2 nsp7 and nsp8 Using Structural Proteomics (XL-MS)	20
PXD028830	2021-09-29	In Situ Proximity Labeling Identifies Lewy Pathology Molecular Interactions in the Human Brain	20
PXD031644	2022-04-02	quantitative crosslinking of ADP treated mitochondria isolated from HEK293 cells	20
PXD022608	2020-11-18	Operation of a TCA cycle subnetwork in the mammalian nucleus	20
PXD040087	2023-02-13	XL-MS of 5S RNP preribosomal complexes	20
PXD038895	2022-12-19	Trans-Golgi protein TVP23B regulates host-microbe interactions via Paneth cell homeostasis and Goblet cell glycosylation	20
PXD044048	2023-07-24	RNA helicase Ighmbp2 regulates THO complex to ensure cellular mRNA homeostasis	20
PXD041717	2023-04-21	Concerted SUMO-targeted ubiquitin ligase activities of TOPORS and RNF4 are essential for stress management and cell proliferation	20
PXD006715	2017-06-14	TRAIP regulates DNA double-strand break-induced ATM activation	20
PXD046412	2023-10-26	Leveraging a self-cleaving peptide for tailored control in proximity labeling proteomics	20
PXD052552	2024-05-24	A photo-caged cross-linker for identifying protein-protein interactions	20
PXD052821	2024-06-04	Complexome profiling of human mitochondrial proteins	20
PXD038572	2022-12-06	EBV latent nuclear antigen EBNA3A modulates IRF3-dependent IFNβ expression	20
PXD049683	2024-02-19	Mass spectrometry (LC-MS) of survivin binding proteins immunoprecipitated from human THP1 cells	20
PXD039473	2023-01-16	Identification of host targets of Vpu based on APEX2 proximity labeling	20
PXD065556	2025-06-27	Integrated Metabolomics and Proteomics Analysis Reveals the Mechanisms of Banxia-Xiexin Decoction in Colitis-Associated Colorectal Cancer	20
PXD048030	2023-12-21	Proximal proteomics analysis reveals DNA polymerase δ subunit 3 is a new MCM2 binding partner and promotes 	20
PXD016639	2019-12-06	Integrative Threading of the DNA-PKcs Disordered Region with Crosslinking Restraints	19
PXD017584	2020-02-18	Protocol for high-yield production of photo-leucine-labeled proteins in Escherichia coli	19
PXD018189	2020-03-25	capsPASEF – Collisional Cross Section Assisted Precursor Selection Applied to Cross-linking Mass Spectrometry	19
PXD025728	2021-04-30	XL-MS of RORg:RORE:SRC3 Complexes	19
PXD032728	2022-03-23	Analysis of subcellular Importin b1 interactomes by BioID and BAR proximity labelling	19
PXD033446	2022-08-02	Functional crosstalk between the cohesin loader and chromatin remodelers	19
PXD037701	2022-10-25	The proteome of Processing Bodies in Arabidopsis.	19
PXD039132	2023-01-02	Large-scale qualitative and quantitative research of dityrosine crosslinking omics in Escherichia coli	19
PXD041831	2023-04-26	Cross-linking mass spectrometry uncovers interactions between high-density lipoproteins and the SARS-CoV-2 spike glycoprotein	19
PXD047023	2023-11-16	Repression of pervasive transcription is the primary role of RNA polymerase II CTD serine 2 phosphorylation in fission yeast	19
PXD055848	2024-09-13	Activation mechanism of Small Heat Shock Protein HSPB5 revealed by disease-associated mutants.	19
PXD053010	2024-06-11	Integrative structural analysis of NF90-NF45 heterodimers reveals architectural rearrangements and oligomerisation on binding dsRNA	19
PXD055874	2024-09-15	Mouse Prefontal Cortex Astrocyte Proteome	19
PXD014499	2019-07-05	Molecular basis of b-adrenergic regulation of cardiac calcium current	18
PXD010950	2018-08-30	4 RABs proxymity labelling -  APEX2-mediated RAB proximity labeling identifies a role for RAB21 in clathrin-independent cargo sorting	18
PXD005566	2016-12-14	Hybrid structural modeling of protein-RNA complexes using crosslinking of segmentally isotope labeled RNA and tandem mass spectrometry	18
PXD007695	2017-09-08	Lipid droplet-targeted APEX proteome	18
PXD008050	2017-10-26	UVA and to UV-oxidized lipids proteomic regulation of the human keratinocytes	18
PXD011235	2018-10-01	AOCM-CPC - Kinetochores are macromolecular protein complexes that ensure accurate chromosome segregation by linking chromosomes to spindle microtubules and integrating safeguard mechanisms	18
PXD011702	2018-11-15	A well-controlled BioID design for endogenous bait proteins	18
PXD011704	2018-11-15	QToF Cross-linking Optimisation	18
PXD019507	2020-06-02	Expanding the cross-link coverage of a dihydrazide-based carboxyl-group specific chemical cross-linking strategy - Dataset 2: Bovine 20S proteasome	18
PXD019508	2020-06-02	Expanding the cross-link coverage of a dihydrazide-based carboxyl-group specific chemical cross-linking strategy - Dataset 3: E. coli 70S ribosome	18
PXD020084	2020-06-29	Cryo-EM structures of dynactin’s shoulder and pointed end show their complex architecture and reveal conserved cargo adaptor binding sites	18
PXD020302	2020-07-10	Analysis of cross-link on Tranaldolase	18
PXD019771	2020-06-15	The linear ubiquitin chain assembly complex LUBAC generates heterotypic ubiquitin chains	18
PXD028685	2021-09-21	Comprehensive atlas of the myelin basic protein interaction landscape	18
PXD023891	2021-01-29	Protein extraction method improvement for FFPE kidney tissue samples	18
PXD025980	2021-05-12	Proximity-dependent biotinylation detects association between stress granule associated proteins and SARS coronavirus nonstructural protein 1	18
PXD005287	2016-11-07	Chemical cross-linking of the Spindly-RZZ complex followed by mass spectrometry	18
PXD027149	2021-07-07	A Chemical Tool for Blue Light-Inducible Proximity Photo-crosslinking in Live Cells	18
PXD023577	2021-01-14	Deciphering the architecture and interactome of the spliceosomal C complex using in vivo chemical crosslinking	18
PXD032113	2022-03-07	Enhanced RNA Interactome capture (eRIC) and total proteome of mouse brain, kidney and liver	18
PXD034241	2022-06-01	LC-MSMS of Arabidopsis thaliana flower bud samples (TurboID-based proximity labeling of meiotic chromosome axes)	18
PXD031601	2022-02-11	APEX2 labeling of Sec bodies in S2 cells	18
PXD041011	2023-03-21	Interaction between GPR110 (ADGFR1) and tight junction protein occludin implicated in blood-brain barrier permeability	18
PXD039612	2023-01-23	Detection of Arc/Arg3.1 oligomers in rat brain: constitutive and synaptic activity-evoked dimer expression in vivo	18
PXD043532	2023-07-04	A hierarchical assembly pathway directs the unique subunit arrangement of TRiC/CCT	18
PXD045824	2023-09-29	Dynamic metabolic efficiency of substrate utilization by copiotrophic marine bacteria	18
PXD039054	2022-12-22	Time-resolved profiling of mRNA-protein interaction through mRNA life cycle	18
PXD047455	2023-12-02	Ubiquitin-specific proximity labeling for the identification of E3 ubiquitin ligase substrates	18
PXD043088	2023-06-19	Characterization of microbe-containing phagosomes using APEX2-based proximity labeling	18
PXD041908	2023-05-01	Targeting APEX2 to the mRNA encoding fatty acid synthase β in yeast identifies proteins that bind and control its translational efficiency in the cell cycle	18
PXD040452	2023-02-27	Proximity interactome of lymphatic VE-cadherin reveals mechanisms of junctional remodeling and reelin secretion.	18
PXD055778	2024-09-11	Proximity labeling of trans-cinnamic acid 4-hydroxylase in Petunia inflata petal protoplasts	18
PXD053341	2024-06-24	photo-crosslinking mass spectrometry localises SNAPC5 and SNAPC2 in SNAPc	18
PXD060825	2025-02-14	Interaction of Human Cytomegalovirus pUL52 with major components of the viral DNA encapsidation network underlines its essential role in genome cleavage-packaging	18
PXD060083	2025-01-22	Plectin-mediated cytoskeletal crosstalk as a target for inhibition of hepatocellular carcinoma growth and metastasis – in vitro phosphoproteomics	18
PXD061125	2025-02-24	Identification of potential self-interaction sites on golgin Imh1-C213 by cross-linking mass spectrometry	18
PXD062688	2025-04-07	Fibrin clot proteomics exploring TG2 versus FXIIIA modification of the insoluble fibrin clot	18
PXD063839	2025-05-11	In cellulo cysteine umpolung for protein structure probing: XL LC-MS/MS Data	18
PXD060852	2025-02-17	Naive and DSS Murine Colon TMTpro bRP fractionation N-terminomics	18
PXD065871	2025-07-07	Expanding the crosslinking mass spectrometry toolbox with vinyl sulfone crosslinkers	18
PXD065858	2025-07-07	Expanding the crosslinking mass spectrometry toolbox with vinyl sulfone crosslinkers	18
PXD065912	2025-07-08	Expanding the crosslinking mass spectrometry toolbox with vinyl sulfone crosslinkers	18
PXD065946	2025-07-09	Expanding the crosslinking mass spectrometry toolbox with vinyl sulfone crosslinkers	18
PXD001609	2014-12-15	Validation of a novel shotgun proteomic workflow for the discovery of protein-protein interactions: focus on ZNF521	17
PXD005028	2016-09-23	SpaP and SpaR interaction partner identification	17
PXD026622	2021-06-10	The RNA-binding protein RBP42 regulates cellular energy metabolism in mammalian-infective Trypanosoma brucei	17
PXD028522	2021-09-16	Molecular architecture of the antiophidic protein DM64 and its binding specificity to myotoxin II from Bothrops asper venom	17
PXD040984	2023-03-20	An UBX domain in UBXD1 organizes Ub binding at the C-terminus of the VCP/p97 AAA-ATPase	17
PXD051588	2024-04-19	STRUCTURE OF APOLIPOPROTEIN B100 BOUND TO LOW-DENSITY LIPOPROTEIN RECEPTOR (SDA ASPN XL DATA)	17
PXD058514	2024-12-03	Development of polyvalent folate receptor-targeting chimeras (FRTACs) for lysosomal degradation of membrane proteins	17
